Time,JUNCTION-30,JUNCTION-16,JUNCTION-20,JUNCTION-45,JUNCTION-90
4.049869341726111571e+00,2.677580896326222160e+02,2.633543366347881260e+02,2.221343081211621211e+02,3.445884369755025318e+02,2.572030182212310478e+02
4.057510604635028884e+00,2.679787321318780755e+02,2.633543355415830547e+02,2.221244888786281422e+02,3.427589552184390413e+02,2.569862261227603994e+02
4.065151867543946196e+00,2.679465670087552667e+02,2.633543344987099317e+02,2.221167393730770812e+02,3.430915600671807510e+02,2.570089227064627835e+02
4.072793130452863508e+00,2.678615805892841308e+02,2.633543343962562631e+02,2.221100607090261860e+02,3.434700566254587102e+02,2.568302789574908047e+02
4.080434393361780820e+00,2.677918382162801549e+02,2.633543300848283479e+02,2.221023795992446992e+02,3.439038517580795542e+02,2.566258750120894661e+02
4.088075656270697245e+00,2.676340902140910316e+02,2.633543277836511720e+02,2.221024716577389313e+02,3.443978948119387837e+02,2.564109084204047804e+02
4.095716919179614557e+00,2.674188404769259932e+02,2.633543308053075407e+02,2.221055439062894550e+02,3.449653420400419463e+02,2.561668515780431221e+02
4.103358182088531869e+00,2.675079423368741232e+02,2.633543318213981479e+02,2.221086511287631140e+02,3.456142040396371158e+02,2.558865395565604217e+02
4.110999444997449181e+00,2.676180144673743939e+02,2.633543334786397168e+02,2.221947452400598024e+02,3.462322030150077126e+02,2.555676866082976346e+02
4.118640707906366494e+00,2.675607671390354767e+02,2.633543325148677354e+02,2.220573296897562443e+02,3.469444460581883050e+02,2.550921226830687090e+02
4.126281970815283806e+00,2.675110888647931802e+02,2.633543323551587605e+02,2.218986931343274875e+02,3.477668328560988584e+02,2.545494850542397103e+02
4.133923233724201118e+00,2.677167328150202366e+02,2.633543322517958245e+02,2.217119620477059243e+02,3.487179220942533107e+02,2.540005728437335506e+02
4.141564496633117543e+00,2.679379051892169628e+02,2.633543299563164624e+02,2.216061147707858083e+02,3.498176081219646676e+02,2.535758744825578788e+02
4.149205759542034855e+00,2.680867242321166373e+02,2.633543285172648325e+02,2.214840649211338075e+02,3.510831178286744034e+02,2.530880627106969598e+02
4.156847022450952167e+00,2.681632693868811543e+02,2.633543278097532152e+02,2.213434309527497703e+02,3.524948601973501923e+02,2.526210262207426638e+02
4.164488285359869479e+00,2.682741910306320960e+02,2.633543271093109865e+02,2.213227637804179153e+02,3.541153006247516828e+02,2.520524958682264582e+02
4.172129548268786792e+00,2.683450742039618149e+02,2.633543272422257360e+02,2.213194693398686184e+02,3.547646121375919961e+02,2.512645955166992451e+02
4.179770811177704104e+00,2.684941453935385312e+02,2.633543259471141482e+02,2.213205558482679578e+02,3.555121763998367328e+02,2.503910046459892556e+02
4.187412074086621416e+00,2.686706848144132778e+02,2.633543271547386553e+02,2.212433534373918178e+02,3.563736504116656647e+02,2.493704494938891401e+02
4.195053336995537840e+00,2.687633430526909137e+02,2.633543262781256544e+02,2.211526689568757149e+02,3.573668298176311282e+02,2.482149734534545189e+02
4.202694599904455153e+00,2.688012707526804093e+02,2.633543249321773487e+02,2.210748315721980930e+02,3.585104489578334892e+02,2.468322725608192627e+02
4.210335862813372465e+00,2.688366277996248641e+02,2.633543245792757261e+02,2.209728543114322292e+02,3.598125015271683651e+02,2.453281754314701004e+02
4.217977125722289777e+00,2.688612565378893464e+02,2.633543225297855770e+02,2.210041055038697095e+02,3.594784144799956493e+02,2.435634788121992642e+02
4.225618388631207090e+00,2.686720884191557843e+02,2.633543223015675494e+02,2.208582175871066227e+02,3.592277055895814328e+02,2.433218943084577006e+02
4.233259651540124402e+00,2.685904793936036867e+02,2.633543188197863856e+02,2.207202577948509656e+02,3.589172882550280974e+02,2.429822461082147242e+02
4.240900914449041714e+00,2.685290127532151132e+02,2.633543196223320138e+02,2.207020590388826236e+02,3.585345756691328916e+02,2.425866715385667192e+02
