Time,JUNCTION-16,JUNCTION-20,JUNCTION-30,JUNCTION-45,JUNCTION-90
1.314297220333757066e+00,2.633543181993433109e+02,2.633575611443347384e+02,2.637177585319738569e+02,3.539470371632166348e+02,2.640412604588364047e+02
1.321938483242674156e+00,2.633543151538711413e+02,2.633575615253565729e+02,2.637020051015016406e+02,3.539470371927333190e+02,2.640412616429001673e+02
1.329579746151591468e+00,2.633543164333984805e+02,2.633575610734409906e+02,2.636856411297093246e+02,3.539470371407298330e+02,2.640412614928466155e+02
1.337221009060508559e+00,2.633543177700990441e+02,2.633575611001253947e+02,2.636686304247451176e+02,3.539470368407725118e+02,2.640412620987167998e+02
1.344862271969425649e+00,2.633543182020857785e+02,2.633575609298695781e+02,2.636509426647769487e+02,3.539470373736901365e+02,2.640412619578860927e+02
1.352503534878342961e+00,2.633543181531990172e+02,2.633575595984038387e+02,2.636325380054683478e+02,3.539470378280570344e+02,2.640412601568681339e+02
1.360144797787260051e+00,2.633543167024992044e+02,2.633575594270502052e+02,2.636133800399124993e+02,3.539470376312468716e+02,2.640412608324206190e+02
1.367786060696177364e+00,2.633543173947014679e+02,2.633575592713945070e+02,2.635934245618190630e+02,3.539470370459327455e+02,2.640412612299446096e+02
1.375427323605094454e+00,2.633543176586271102e+02,2.633575578233398460e+02,2.635726298521879016e+02,3.539470369030962047e+02,2.640412608296800840e+02
1.383068586514011766e+00,2.633543169813813734e+02,2.633575580373592402e+02,2.635509444900350218e+02,3.539470366533495280e+02,2.640412598409639600e+02
1.390709849422928857e+00,2.633543160554589804e+02,2.633575579829076787e+02,2.635281120349491175e+02,3.539470363542400833e+02,2.640412601736724127e+02
1.398351112331846169e+00,2.633543160013506963e+02,2.633575580869043620e+02,2.635042780692440942e+02,3.539470361313103695e+02,2.640412629079122553e+02
1.405992375240763259e+00,2.633543162101326516e+02,2.633575583388165455e+02,2.634793880963866286e+02,3.539470366480400116e+02,2.640412647943742854e+02
1.413633638149680571e+00,2.633543170289807449e+02,2.633575582917697488e+02,2.634533738997623686e+02,3.539470358863734987e+02,2.640412646025840218e+02
1.421274901058597662e+00,2.633543126070364906e+02,2.633575598579614621e+02,2.634261717295921130e+02,3.539470358524080211e+02,2.640412643287581318e+02
