Time,JUNCTION-30,JUNCTION-16,JUNCTION-20,JUNCTION-45,JUNCTION-90
5.730947181687894298e-01,2.641051551855796333e+02,2.633543266512069181e+02,2.633575654959591930e+02,3.539470369344023197e+02,2.640412652947183574e+02
5.807359810777065201e-01,2.641051551127246739e+02,2.633543266803043821e+02,2.633575654958956989e+02,3.539470382213233961e+02,2.640412648547018080e+02
5.883772439866237214e-01,2.641051551304880149e+02,2.633543271657877654e+02,2.633575654939640458e+02,3.539470379865630889e+02,2.640412638862234758e+02
5.960185068955409227e-01,2.641051551495942249e+02,2.633543288706020462e+02,2.633575654939027686e+02,3.539470380675322190e+02,2.640412633915408946e+02
6.036597698044581239e-01,2.641051551672928781e+02,2.633543289153335536e+02,2.633575655092707848e+02,3.539470380536503740e+02,2.640412637861264784e+02
6.113010327133753252e-01,2.641051553796701796e+02,2.633543288251256627e+02,2.633575655092042780e+02,3.539470380695798326e+02,2.640412634562939047e+02
6.189422956222925265e-01,2.641051553973053387e+02,2.633543288969855780e+02,2.633575656260300661e+02,3.539470381479533785e+02,2.640412639469173541e+02
6.265835585312097278e-01,2.641051553294718133e+02,2.633543289335481177e+02,2.633575656259660605e+02,3.539470381312814311e+02,2.640412640027117845e+02
6.342248214401269291e-01,2.641051553695787675e+02,2.633543287146183616e+02,2.633575656258297499e+02,3.539470382905229258e+02,2.640412625664136499e+02
6.418660843490441303e-01,2.641051554437328264e+02,2.633543289669837577e+02,2.633575646366937235e+02,3.539470377644285577e+02,2.640412617069504222e+02
6.495073472579613316e-01,2.641051547409724662e+02,2.633543289984657463e+02,2.633575643649048743e+02,3.539470377525858567e+02,2.640412617753880795e+02
6.571486101668785329e-01,2.641051547948502503e+02,2.633543290159864796e+02,2.633575662088140348e+02,3.539470360369685409e+02,2.640412632201254723e+02
6.647898730757957342e-01,2.641051548121014321e+02,2.633543290622048403e+02,2.633575662072732371e+02,3.539470360060951180e+02,2.640412633342124309e+02
6.724311359847128244e-01,2.641051548308822134e+02,2.633543278794760454e+02,2.633575659751177227e+02,3.539470358137843959e+02,2.640412632484795949e+02
6.800723988936300257e-01,2.641051548414160948e+02,2.633543279088434019e+02,2.633575659831781195e+02,3.539470369318492544e+02,2.640412647284910577e+02
6.877136618025472270e-01,2.641051548601307672e+02,2.633543290226251088e+02,2.633575669488878930e+02,3.539470365832522134e+02,2.640412656695630744e+02
6.953549247114644283e-01,2.641051549083671262e+02,2.633543290923180393e+02,2.633575668655730055e+02,3.539470366762418507e+02,2.640412662143893385e+02
